codigo,nombre,precio,categoria,,,
10001,TAJADO,3800,panaderia,,,
10002,MINITAJADO,2300,panaderia,,,
10003,SUPER MINI TAJADO,2000,panaderia,,,
10004,TOSTADA *8,1800,panaderia,,,
10007,HAMBURGUESA *6,2700,panaderia,,,
10008,PAN PERRO *6,2700,panaderia,,,
10009,HAMBURGUESA *4,1800,panaderia,,,
10010,PAN PERRO *4,2800,panaderia,,,
10016,SUPER PERRO,900,panaderia,,,
10019,ROLLO DE 500,400,panaderia,,,
10020,ROLLO DE 500 QUESO,400,panaderia,,,
10021,ROLLO DE 1000,800,panaderia,,,
10022,ROLLO DE 1000 QUESO,800,panaderia,,,
10023,ROLLO DE 2000,1600,panaderia,,,
10052,CASCARA X5,2400,panaderia,,,
10031,BOLA *6,1600,panaderia,,,
10033,MESTIZA DE 500,400,panaderia,,,
10034,MESTIZA *3,800,panaderia,,,
10035,MESTIZA DE 2000,1600,panaderia,,,
10040,INTEGRAL DE 500,400,panaderia,,,
10041,TOSTADA INTEGRAL *8,1800,panaderia,,,
10043,MINI INTEGRAL,1750,panaderia,,,
10055,PAN HOJALDRADO,1000,bizcocheria,,,
10058,ROLLO DE 500 LECHE,400,panaderia,,,
10059,ROLLO DE 1000 LECHE,800,panaderia,,,
10060,ROLLO DE 2000 LECHE,1600,panaderia,,,
10061,BOLA *3,800,panaderia,,,
10063,MOJICON 2000,1600,panaderia,,,
10069,MIGA DE PAN 1/2LB,2000,panaderia,,,
10070,MIGA DE PAN LB,4000,panaderia,,,
10072,ROSCON DE BOCADILLO,600,panaderia,,,
10073,MOJICON AZUCARADO DE 2000,1600,panaderia,,,
10079,PAN CON PANELA *6,2400,bizcocheria,,,
10080,PAN CUADRADO DE LECHE *6,2400,bizcocheria,,,
10082,PALITROQUE,1600,bizcocheria,,,
10086,ROLLO DE Q. Y M. GR,4200,panaderia,,,
10091,PAN REY 400 GR,4000,panaderia,,,
10092,ROLLO DE 2000 QUESO,1600,panaderia,,,
10133,SUPER HAMBURGUESA *6,3600,panaderia,,,
10137,INTEGRAL DE 1000,800,panaderia,,,
10175,PAN DE MAIZ CROCANTE,2500,panaderia,,,
10183,PAN ROJO,7700,bizcocheria,,,
10192,CASCARA X3(GRD),800,panaderia,,,
10193,CASCARA X6(GRD),1600,panaderia,,,
10202,PAN TIPO RAMO,7000,bizcocheria,,,
10203,PAN GALA*7,8400,bizcocheria,,,
10238,TOSTADO,5000,panaderia,,,
10251,INTEGRAL 2000,1600,panaderia,,,
10296,MESTIZA X6,1600,panaderia,,,
10297,SUPER MINI TAJADO INTEGRAL,2000,panaderia,,,
10024,ROLLO LECHE XL,2400,panaderia,,,
10291,ROLLO QUESO XL,2400,panaderia,,,
10254,ROLLO LECHE XXL,4000,panaderia,,,
10094,ROLLO QUESO XXL,4000,panaderia,,,
10322,SUPER HAMB. *6 + AJONJOLI,4200,panaderia,,,
10321,SUPER PERRO + AJONJOLI,1000,panaderia,,,
10068,TOSTADO X10,2500,panaderia,,,
10218,PAN CHOCOLATE *6,1600,panaderia,,,
10219,PAN CHOCOLATE GRANDE,1600,panaderia,,,
10326,PAN CUADRADO X10,1500,panaderia,,,
